sc,h,ens
sc1,h01,0.0
sc2,h01,0.0
sc3,h01,0.0
sc1,h02,0.0
sc2,h02,0.0
sc3,h02,0.0
sc1,h03,0.0
sc2,h03,0.0
sc3,h03,0.0
sc1,h04,0.0
sc2,h04,0.0
sc3,h04,0.0
sc1,h05,0.0
sc2,h05,0.0
sc3,h05,0.0
sc1,h06,0.0
sc2,h06,0.0
sc3,h06,0.0
sc1,h07,0.0
sc2,h07,0.0
sc3,h07,0.0
sc1,h08,0.0
sc2,h08,0.0
sc3,h08,0.0
sc1,h09,0.0
sc2,h09,0.0
sc3,h09,0.0
sc1,h10,0.0
sc2,h10,0.0
sc3,h10,0.0
sc1,h11,0.0
sc2,h11,0.0
sc3,h11,0.0
sc1,h12,0.0
sc2,h12,0.0
sc3,h12,0.0
sc1,h13,0.0
sc2,h13,0.0
sc3,h13,0.0
sc1,h14,0.0
sc2,h14,0.0
sc3,h14,0.0
sc1,h15,0.0
sc2,h15,0.0
sc3,h15,0.0
sc1,h16,0.0
sc2,h16,0.0
sc3,h16,0.0
sc1,h17,0.0
sc2,h17,0.0
sc3,h17,0.0
sc1,h18,0.0
sc2,h18,0.0
sc3,h18,0.0
sc1,h19,0.0
sc2,h19,0.0
sc3,h19,0.0
sc1,h20,51.5
sc2,h20,0.0
sc3,h20,0.0
sc1,h21,70.0
sc2,h21,0.0
sc3,h21,0.0
sc1,h22,79.5
sc2,h22,0.0
sc3,h22,0.0
sc1,h23,43.0
sc2,h23,0.0
sc3,h23,0.0
sc1,h24,25.0
sc2,h24,0.0
sc3,h24,0.0
